id;diem_qua_trinh;diem_thanh_phan;created_at;updated_at;sinh_vien_id;mon_hoc_id
1;25524.65;17855.63;2025-12-09T09:38:53;2025-12-09T07:46:42;1;1
2;19315.14;11454.99;2025-12-09T13:59:30;2025-12-09T20:02:43;2;2
3;31388.21;16639.05;2025-12-10T05:01:47;2025-12-10T00:40:17;3;3
4;17404.19;2649.46;2025-12-09T07:51:53;2025-12-09T19:39:26;4;4
5;614.57;28148.76;2025-12-09T09:25:23;2025-12-09T17:32:47;5;5
6;26192.13;10414.02;2025-12-10T05:07:52;2025-12-09T09:44:51;6;6
7;15716.22;3986.26;2025-12-10T05:23:24;2025-12-09T11:30:58;7;7
8;24201.42;17310.18;2025-12-10T07:08:26;2025-12-09T18:25:45;8;8
9;26817.02;15202.76;2025-12-09T18:38:31;2025-12-10T01:21:08;9;9
10;19962.67;14535.24;2025-12-09T21:43:46;2025-12-09T22:57:59;10;10
