id;ten_mon;ty_le_diem_qua_trinh;created_at;updated_at
1;unto down;10120.87;2025-12-09T23:35:25;2025-12-10T03:23:36
2;over narrate minus;4052.71;2025-12-10T07:07:10;2025-12-10T03:53:15
3;that fort ack;29679.55;2025-12-09T19:33:43;2025-12-10T02:16:03
4;tromp boo navigate;3698.34;2025-12-09T14:00:27;2025-12-09T17:02:44
5;grizzled slowly;22360.21;2025-12-10T02:41:25;2025-12-09T09:52:59
6;highly;5893.01;2025-12-09T12:40:42;2025-12-09T17:55:37
7;that meh jump;5756.15;2025-12-09T18:57:04;2025-12-09T22:35:25
8;sheathe boldly brr;16612.1;2025-12-09T12:51:52;2025-12-10T05:45:20
9;until phooey digit;26674.31;2025-12-10T04:06:36;2025-12-09T20:38:51
10;toward;10419.8;2025-12-10T01:15:30;2025-12-09T20:58:11
